,Batch,Orig vs Groq,Orig vs GPT,Orig vs Gem,Orig vs DS,Groq vs GPT,Groq vs Gem,Groq vs DS,GPT vs Gem,GPT vs DS,Gem vs DS
0,1,0.501 (0.187),0.605 (0.151),0.586 (0.193),0.609 (0.179),0.714 (0.18),0.535 (0.197),0.724 (0.166),0.625 (0.153),0.816 (0.121),0.642 (0.18)
1,2,0.513 (0.213),0.614 (0.169),0.625 (0.123),0.619 (0.189),0.673 (0.202),0.563 (0.167),0.694 (0.194),0.58 (0.11),0.811 (0.119),0.617 (0.124)
2,3,0.542 (0.186),0.592 (0.162),0.552 (0.189),0.55 (0.183),0.741 (0.113),0.582 (0.158),0.752 (0.099),0.586 (0.151),0.829 (0.122),0.548 (0.168)
3,4,0.507 (0.131),0.592 (0.134),0.615 (0.126),0.588 (0.17),0.755 (0.101),0.601 (0.141),0.781 (0.095),0.64 (0.118),0.832 (0.121),0.611 (0.153)
4,5,0.522 (0.166),0.623 (0.151),0.566 (0.193),0.606 (0.15),0.701 (0.17),0.534 (0.206),0.705 (0.179),0.584 (0.2),0.836 (0.095),0.583 (0.229)
5,6,0.424 (0.208),0.485 (0.184),0.504 (0.207),0.511 (0.205),0.638 (0.222),0.483 (0.214),0.665 (0.226),0.5 (0.194),0.784 (0.152),0.533 (0.187)
6,7,0.516 (0.153),0.587 (0.174),0.564 (0.166),0.573 (0.167),0.705 (0.187),0.533 (0.184),0.727 (0.209),0.589 (0.162),0.861 (0.091),0.597 (0.16)
7,8,0.478 (0.215),0.461 (0.209),0.461 (0.19),0.487 (0.193),0.603 (0.246),0.454 (0.22),0.615 (0.229),0.429 (0.218),0.769 (0.135),0.469 (0.233)
8,9,0.352 (0.186),0.457 (0.207),0.536 (0.207),0.448 (0.219),0.693 (0.178),0.416 (0.181),0.697 (0.199),0.519 (0.187),0.836 (0.132),0.549 (0.166)
9,10,0.594 (0.132),0.603 (0.122),0.603 (0.185),0.58 (0.197),0.75 (0.106),0.639 (0.162),0.765 (0.096),0.62 (0.177),0.815 (0.149),0.619 (0.193)
10,11,0.436 (0.237),0.538 (0.224),0.498 (0.206),0.503 (0.216),0.651 (0.244),0.472 (0.281),0.652 (0.266),0.535 (0.22),0.783 (0.15),0.548 (0.226)
11,12,0.435 (0.249),0.54 (0.216),0.551 (0.206),0.564 (0.216),0.616 (0.247),0.537 (0.25),0.671 (0.262),0.584 (0.2),0.828 (0.134),0.594 (0.216)
12,13,0.518 (0.201),0.621 (0.156),0.625 (0.164),0.645 (0.159),0.693 (0.215),0.61 (0.178),0.693 (0.208),0.648 (0.178),0.86 (0.096),0.691 (0.159)
13,14,0.464 (0.227),0.514 (0.22),0.527 (0.179),0.496 (0.214),0.667 (0.263),0.551 (0.194),0.675 (0.241),0.574 (0.184),0.798 (0.151),0.61 (0.157)
14,15,0.456 (0.246),0.543 (0.222),0.554 (0.21),0.537 (0.232),0.654 (0.241),0.52 (0.241),0.692 (0.239),0.62 (0.166),0.812 (0.128),0.651 (0.178)
15,16,0.634 (0.135),0.671 (0.141),0.67 (0.124),0.669 (0.153),0.813 (0.071),0.692 (0.118),0.81 (0.103),0.709 (0.104),0.868 (0.077),0.704 (0.13)
16,17,0.561 (0.161),0.619 (0.164),0.628 (0.171),0.645 (0.187),0.719 (0.154),0.572 (0.131),0.746 (0.141),0.593 (0.175),0.79 (0.117),0.611 (0.175)
17,18,0.599 (0.19),0.651 (0.183),0.656 (0.172),0.687 (0.191),0.717 (0.217),0.647 (0.123),0.731 (0.201),0.641 (0.175),0.83 (0.137),0.7 (0.154)
18,19,0.599 (0.193),0.609 (0.194),0.606 (0.169),0.63 (0.198),0.74 (0.151),0.58 (0.197),0.777 (0.148),0.622 (0.124),0.815 (0.109),0.648 (0.161)
19,20,0.629 (0.116),0.713 (0.151),0.71 (0.113),0.709 (0.123),0.813 (0.1),0.689 (0.109),0.824 (0.091),0.709 (0.129),0.877 (0.079),0.73 (0.112)
